"idx","tic","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Exchange","MarketCap1","X1","X2","X3","X4","X5","X6","score","tic.y"
986,"momo","Momo Inc.",21.6,"$4.16B",2014,"Technology","Computer Software: Prepackaged Software","NASDAQ",4160,0.03,0.09,-0.01,2.33,2.3,1.81,8.78494597715188,"momo"
627,"ges","Guess?, Inc.",17.93,"$1.51B",1996,"Consumer Non-Durables","Apparel","NYSE",1510,-0.01,0.05,0.01,1.79,2.58,1.66,8.20667357589048,"ges"
952,"mdvn","Medivation, Inc.",80.35,"$13.33B",2000,"Health Care","Major Pharmaceuticals","NASDAQ",13330,0,0.06,0.01,1.3,3.24,1.91,8.07355499653499,"mdvn"
1299,"safm","Sanderson Farms, Inc.",96.94,"$2.19B",1987,"Consumer Non-Durables","Meat/Poultry/Fish","NASDAQ",2190,0,0.01,0.01,1.88,1.79,1.43,8.03185702093283,"safm"
802,"isil","Intersil Corporation",19.13,"$2.59B",2000,"Technology","Semiconductors","NASDAQ",2590,0.02,0.06,0,0.93,2.78,1.71,7.57890172790103,"isil"
1439,"syt","Syngenta AG",86.64,"$40.26B",2000,"Basic Industries","Agricultural Chemicals","NYSE",40260,0,0.03,0.01,0.98,2.04,1.4,7.51441322292137,"syt"
1244,"rax","Rackspace Hosting, Inc",31.5,"$3.96B",2008,"Technology","Computer Software: Programming, Data Processing","NYSE",3960,0.04,0.03,-0.02,9.07,2.24,1.39,7.49066586127793,"rax"
650,"gnw","Genworth Financial Inc",4.62,"$2.3B",2004,"Finance","Life Insurance","NYSE",2300,0.05,0.04,0,2.19,1.26,1.01,7.48031012361458,"gnw"
369,"crh","CRH PLC",33.24,"$27.39B",2000,"Capital Goods","Building Materials","NYSE",27390,-0.01,0.01,0.01,2.08,1.49,1.38,7.46555137661264,"crh"
945,"mdco","The Medicines Company",39.81,"$2.81B",2000,"Health Care","Major Pharmaceuticals","NASDAQ",2810,0.03,0.01,0,1.68,1.5,1.23,7.41136741954041,"mdco"
1654,"wrk","Westrock Company",48.05,"$12.08B",2015,"Consumer Durables","Containers/Packaging","NYSE",12080,0.02,0.02,0,2.28,1.34,1.07,7.34450749890112,"wrk"
858,"ks","KapStone Paper and Packaging Corporation",17.25,"$1.67B",2000,"Basic Industries","Paper","NYSE",1670,0.06,0.01,-0.01,3.5,1.6,1.24,7.10188045681723,"ks"
792,"ip","International Paper Company",48.89,"$20.1B",2000,"Basic Industries","Paper","NYSE",20100,0.01,0.01,0,2.17,1.5,1.24,7.09970315919325,"ip"
210,"bofi","BofI Holding, Inc.",22.89,"$1.45B",2005,"Finance","Savings Institutions","NASDAQ",1450,0.03,0.05,0,1.5,1.44,1.04,7.09192155705044,"bofi"
319,"clvs","Clovis Oncology, Inc.",23.15,"$891.3M",2011,"Health Care","Major Pharmaceuticals","NASDAQ",891.3,0.02,0.09,-0.01,1.36,3.14,1.85,7.03596837032038,"clvs"
954,"ment","Mentor Graphics Corporation",24.02,"$2.57B",1984,"Technology","EDP Services","NASDAQ",2570,0,0.01,0.02,0.88,1.73,1.75,6.91103276949049,"ment"
465,"drh","Diamondrock Hospitality Company",10.7,"$2.15B",2005,"Consumer Services","Real Estate Investment Trusts","NYSE",2150,0,0.01,0,2.12,1.88,1.32,6.89588343626599,"drh"
1475,"tif","Tiffany & Co.",73.56,"$9.27B",1987,"Consumer Services","Consumer Specialties","NYSE",9270,0,0.02,0,1.95,1.71,1.19,6.80733845472318,"tif"
1302,"sam","Boston Beer Company, Inc. (The)",192.05,"$2.39B",2000,"Consumer Non-Durables","Beverages (Production/Distribution)","NYSE",2390,0.01,0.01,0,1.91,1.35,1.36,6.80233886193495,"sam"
304,"cib","BanColombia S.A.",39.43,"$9.48B",2000,"Finance","Commercial Banks","NYSE",9480,0.01,0,0,1.93,1.9,1.56,6.74334190127305,"cib"
1321,"scor","comScore, Inc.",30,"$1.17B",2007,"Miscellaneous","Business Services","NASDAQ",1170,0.01,0.02,0.01,1.23,1.32,1.15,6.65569500721257,"scor"
1236,"qtwo","Q2 Holdings, Inc.",28.43,"$1.13B",2014,"Technology","Computer Software: Prepackaged Software","NYSE",1130,-0.02,0.02,0.01,4.85,1.6,1.12,6.64038389232165,"qtwo"
1151,"pbyi","Puma Biotechnology Inc",57.63,"$1.87B",2000,"Health Care","Major Pharmaceuticals","NYSE",1870,0.01,0.04,0,1.14,1.75,1.23,6.54898901515495,"pbyi"
1119,"on","ON Semiconductor Corporation",11.03,"$4.58B",2000,"Technology","Semiconductors","NASDAQ",4580,0,0.02,0,2.76,1.5,1.1,6.53927582326046,"on"
